央视频道,#genre#
CCTV-6电影,http://221.223.21.27:8888/rtp/239.3.1.174:8001
CCTV-6电影,http://221.219.177.43:4022/rtp/239.3.1.174:8001
CCTV-6电影,http://123.114.25.21:4000/rtp/239.3.1.174:8001
CCTV-6电影,http://114.254.39.186:4022/rtp/239.3.1.174:8001
CCTV-7军事农业,http://221.219.67.26:8888/rtp/239.3.1.61:8104
CCTV-7军事农业,http://123.120.136.37:4023/rtp/239.3.1.61:8104
CCTV-7军事农业,http://114.254.251.232:4022/rtp/239.3.1.61:8104
CCTV-7军事农业,http://123.113.185.78:4022/rtp/239.3.1.61:8104
CCTV-7军事农业,http://221.223.21.27:8888/rtp/239.3.1.61:8104
CCTV-7军事农业,http://221.219.177.43:4022/rtp/239.3.1.61:8104
CCTV-7军事农业,http://123.114.25.21:4000/rtp/239.3.1.61:8104
CCTV-7军事农业,http://114.254.39.186:4022/rtp/239.3.1.61:8104
CCTV-8电视剧,http://221.219.67.26:8888/rtp/239.3.1.175:8001
CCTV-8电视剧,http://221.219.67.26:8888/rtp/239.3.1.85:4120
CCTV-8电视剧,http://123.120.136.37:4023/rtp/239.3.1.175:8001
CCTV-8电视剧,http://123.120.136.37:4023/rtp/239.3.1.85:4120
CCTV-8电视剧,http://114.254.251.232:4022/rtp/239.3.1.175:8001
CCTV-8电视剧,http://114.254.251.232:4022/rtp/239.3.1.85:4120
CCTV-8电视剧,http://123.113.185.78:4022/rtp/239.3.1.175:8001
CCTV-8电视剧,http://123.113.185.78:4022/rtp/239.3.1.85:4120
CCTV-8电视剧,http://221.223.21.27:8888/rtp/239.3.1.175:8001
CCTV-8电视剧,http://221.223.21.27:8888/rtp/239.3.1.85:4120
CCTV-8电视剧,http://221.219.177.43:4022/rtp/239.3.1.175:8001
CCTV-8电视剧,http://221.219.177.43:4022/rtp/239.3.1.85:4120
CCTV-8电视剧,http://123.114.25.21:4000/rtp/239.3.1.175:8001
CCTV-8电视剧,http://123.114.25.21:4000/rtp/239.3.1.85:4120
CCTV-8电视剧,http://114.254.39.186:4022/rtp/239.3.1.175:8001
CCTV-8电视剧,http://114.254.39.186:4022/rtp/239.3.1.85:4120
CCTV-9纪录,http://221.219.67.26:8888/rtp/239.3.1.62:8112
CCTV-9纪录,http://123.120.136.37:4023/rtp/239.3.1.62:8112
CCTV-9纪录,http://114.254.251.232:4022/rtp/239.3.1.62:8112
CCTV-9纪录,http://123.113.185.78:4022/rtp/239.3.1.62:8112
CCTV-9纪录,http://221.223.21.27:8888/rtp/239.3.1.62:8112
CCTV-9纪录,http://221.219.177.43:4022/rtp/239.3.1.62:8112
CCTV-9纪录,http://123.114.25.21:4000/rtp/239.3.1.62:8112
CCTV-9纪录,http://114.254.39.186:4022/rtp/239.3.1.62:8112
CCTV-10科教,http://221.219.67.26:8888/rtp/239.3.1.63:8116
CCTV-10科教,http://221.219.67.26:8888/rtp/239.3.1.86:4120
CCTV-10科教,http://123.120.136.37:4023/rtp/239.3.1.63:8116
CCTV-10科教,http://123.120.136.37:4023/rtp/239.3.1.86:4120
CCTV-10科教,http://114.254.251.232:4022/rtp/239.3.1.63:8116
CCTV-10科教,http://114.254.251.232:4022/rtp/239.3.1.86:4120
CCTV-10科教,http://123.113.185.78:4022/rtp/239.3.1.63:8116
CCTV-10科教,http://123.113.185.78:4022/rtp/239.3.1.86:4120
CCTV-10科教,http://221.223.21.27:8888/rtp/239.3.1.63:8116
CCTV-10科教,http://221.223.21.27:8888/rtp/239.3.1.86:4120
CCTV-10科教,http://221.219.177.43:4022/rtp/239.3.1.63:8116
CCTV-10科教,http://221.219.177.43:4022/rtp/239.3.1.86:4120
CCTV-10科教,http://123.114.25.21:4000/rtp/239.3.1.63:8116
CCTV-10科教,http://123.114.25.21:4000/rtp/239.3.1.86:4120
CCTV-10科教,http://114.254.39.186:4022/rtp/239.3.1.63:8116
CCTV-10科教,http://114.254.39.186:4022/rtp/239.3.1.86:4120
CCTV-11戏曲,http://221.219.67.26:8888/rtp/239.3.1.152:8120
CCTV-11戏曲,http://123.120.136.37:4023/rtp/239.3.1.152:8120
CCTV-11戏曲,http://114.254.251.232:4022/rtp/239.3.1.152:8120
CCTV-11戏曲,http://123.113.185.78:4022/rtp/239.3.1.152:8120
CCTV-11戏曲,http://221.223.21.27:8888/rtp/239.3.1.152:8120
CCTV-11戏曲,http://221.219.177.43:4022/rtp/239.3.1.152:8120
CCTV-11戏曲,http://123.114.25.21:4000/rtp/239.3.1.152:8120
CCTV-11戏曲,http://114.254.39.186:4022/rtp/239.3.1.152:8120
CCTV-12社会与法,http://221.219.67.26:8888/rtp/239.3.1.64:8124
CCTV-12社会与法,http://123.120.136.37:4023/rtp/239.3.1.64:8124
CCTV-12社会与法,http://114.254.251.232:4022/rtp/239.3.1.64:8124
CCTV-12社会与法,http://123.113.185.78:4022/rtp/239.3.1.64:8124
CCTV-12社会与法,http://221.223.21.27:8888/rtp/239.3.1.64:8124
CCTV-12社会与法,http://221.219.177.43:4022/rtp/239.3.1.64:8124
CCTV-12社会与法,http://123.114.25.21:4000/rtp/239.3.1.64:8124
CCTV-12社会与法,http://114.254.39.186:4022/rtp/239.3.1.64:8124
CCTV-13新闻,http://221.219.67.26:8888/rtp/239.3.1.124:8128
CCTV-13新闻,http://123.120.136.37:4023/rtp/239.3.1.124:8128
CCTV-13新闻,http://114.254.251.232:4022/rtp/239.3.1.124:8128
CCTV-13新闻,http://123.113.185.78:4022/rtp/239.3.1.124:8128
CCTV-13新闻,http://221.223.21.27:8888/rtp/239.3.1.124:8128
CCTV-13新闻,http://221.219.177.43:4022/rtp/239.3.1.124:8128
CCTV-13新闻,http://123.114.25.21:4000/rtp/239.3.1.124:8128
CCTV-13新闻,http://114.254.39.186:4022/rtp/239.3.1.124:8128
CCTV-14少儿,http://221.219.67.26:8888/rtp/239.3.1.65:8132
CCTV-14少儿,http://123.120.136.37:4023/rtp/239.3.1.65:8132
CCTV-14少儿,http://114.254.251.232:4022/rtp/239.3.1.65:8132
