央视频道,#genre#
CCTV1,http://39.89.188.244:4002/rtp/239.253.254.77:8000
CCTV1,http://39.89.139.168:4010/rtp/239.253.254.77:8000
CCTV1,http://39.89.189.36:4002/rtp/239.253.254.77:8000
CCTV1,http://39.89.118.39:4002/rtp/239.253.254.77:8000
CCTV1,http://39.89.118.156:4002/rtp/239.253.254.77:8000
CCTV1,http://218.59.196.110:8188/rtp/239.253.254.77:8000
CCTV1,http://39.84.71.4:4000/rtp/239.253.254.77:8000
CCTV1,http://112.250.244.143:8189/rtp/239.253.254.77:8000
CCTV1,http://27.223.143.17:4002/rtp/239.253.254.77:8000
CCTV1,http://27.223.140.115:4002/rtp/239.253.254.77:8000
CCTV1,http://123.130.198.78:8188/rtp/239.253.254.77:8000
CCTV1,http://39.77.22.26:4001/rtp/239.253.254.77:8000
CCTV1,http://39.77.26.75:4000/rtp/239.253.254.77:8000
CCTV1,http://119.162.240.50:8188/rtp/239.253.254.77:8000
CCTV1,http://39.87.249.126:8090/rtp/239.253.254.77:8000
CCTV1,http://218.57.85.103:4022/rtp/239.253.254.77:8000
CCTV1,http://124.134.48.19:8888/rtp/239.253.254.77:8000
CCTV1,http://39.84.71.127:4000/rtp/239.253.254.77:8000
CCTV1,http://27.223.169.17:4004/rtp/239.253.254.77:8000
CCTV1,http://124.134.48.37:8888/rtp/239.253.254.77:8000
CCTV2,http://39.89.188.244:4002/rtp/239.253.254.232:8000
CCTV2,http://39.89.139.168:4010/rtp/239.253.254.232:8000
CCTV2,http://39.89.189.36:4002/rtp/239.253.254.232:8000
CCTV2,http://39.89.118.39:4002/rtp/239.253.254.232:8000
CCTV2,http://39.89.118.156:4002/rtp/239.253.254.232:8000
CCTV2,http://218.59.196.110:8188/rtp/239.253.254.232:8000
CCTV2,http://39.84.71.4:4000/rtp/239.253.254.232:8000
CCTV2,http://112.250.244.143:8189/rtp/239.253.254.232:8000
CCTV2,http://27.223.143.17:4002/rtp/239.253.254.232:8000
CCTV2,http://27.223.140.115:4002/rtp/239.253.254.232:8000
CCTV2,http://123.130.198.78:8188/rtp/239.253.254.232:8000
CCTV2,http://39.77.22.26:4001/rtp/239.253.254.232:8000
CCTV2,http://39.77.26.75:4000/rtp/239.253.254.232:8000
CCTV2,http://119.162.240.50:8188/rtp/239.253.254.232:8000
CCTV2,http://39.87.249.126:8090/rtp/239.253.254.232:8000
CCTV2,http://218.57.85.103:4022/rtp/239.253.254.232:8000
CCTV2,http://124.134.48.19:8888/rtp/239.253.254.232:8000
CCTV2,http://39.84.71.127:4000/rtp/239.253.254.232:8000
CCTV2,http://27.223.169.17:4004/rtp/239.253.254.232:8000
CCTV2,http://124.134.48.37:8888/rtp/239.253.254.232:8000
CCTV3,http://39.89.188.244:4002/rtp/239.253.254.191:8000
CCTV3,http://39.89.139.168:4010/rtp/239.253.254.191:8000
CCTV3,http://39.89.189.36:4002/rtp/239.253.254.191:8000
CCTV3,http://39.89.118.39:4002/rtp/239.253.254.191:8000
CCTV3,http://39.89.118.156:4002/rtp/239.253.254.191:8000
CCTV3,http://218.59.196.110:8188/rtp/239.253.254.191:8000
CCTV3,http://39.84.71.4:4000/rtp/239.253.254.191:8000
CCTV3,http://112.250.244.143:8189/rtp/239.253.254.191:8000
CCTV3,http://27.223.143.17:4002/rtp/239.253.254.191:8000
CCTV3,http://27.223.140.115:4002/rtp/239.253.254.191:8000
CCTV3,http://123.130.198.78:8188/rtp/239.253.254.191:8000
CCTV3,http://39.77.22.26:4001/rtp/239.253.254.191:8000
CCTV3,http://39.77.26.75:4000/rtp/239.253.254.191:8000
CCTV3,http://119.162.240.50:8188/rtp/239.253.254.191:8000
CCTV3,http://39.87.249.126:8090/rtp/239.253.254.191:8000
CCTV3,http://218.57.85.103:4022/rtp/239.253.254.191:8000
CCTV3,http://124.134.48.19:8888/rtp/239.253.254.191:8000
CCTV3,http://39.84.71.127:4000/rtp/239.253.254.191:8000
CCTV3,http://27.223.169.17:4004/rtp/239.253.254.191:8000
CCTV3,http://124.134.48.37:8888/rtp/239.253.254.191:8000
CCTV4,http://39.89.188.244:4002/rtp/239.253.254.111:8000
CCTV4,http://39.89.188.244:4002/rtp/239.253.254.186:8000
CCTV4,http://39.89.188.244:4002/rtp/239.253.254.187:8000
CCTV4,http://39.89.139.168:4010/rtp/239.253.254.111:8000
CCTV4,http://39.89.139.168:4010/rtp/239.253.254.186:8000
CCTV4,http://39.89.139.168:4010/rtp/239.253.254.187:8000
CCTV4,http://39.89.189.36:4002/rtp/239.253.254.111:8000
CCTV4,http://39.89.189.36:4002/rtp/239.253.254.186:8000
CCTV4,http://39.89.189.36:4002/rtp/239.253.254.187:8000
